timestamp,sound,co2,voltage,case_no
2025-10-21 16:59:03,,,23.8,17
2025-10-21 16:59:04,,24.88,,17
2025-10-21 16:59:04,,,23.77,17
2025-10-21 16:59:05,65,,,17
2025-10-21 16:59:05,,,23.8,17
2025-10-21 16:59:05,,,23.76,17
2025-10-21 16:59:06,,,23.74,17
2025-10-21 16:59:07,,24.89,,17
2025-10-21 16:59:08,,,23.78,17
2025-10-21 16:59:08,72,,,17
2025-10-21 16:59:08,,,23.81,17
2025-10-21 16:59:09,,,23.8,17
2025-10-21 16:59:09,,24.88,,17
2025-10-21 16:59:10,,,23.77,17
2025-10-21 16:59:10,,,23.74,17
2025-10-21 16:59:11,116,,,17
2025-10-21 16:59:11,,,23.77,17
2025-10-21 16:59:12,,,23.76,17
2025-10-21 16:59:12,,24.89,,17
2025-10-21 16:59:12,,,23.78,17
2025-10-21 16:59:13,,,23.77,17
2025-10-21 16:59:14,129,,,17
2025-10-21 16:59:14,,,23.8,17
2025-10-21 16:59:15,,,23.78,17
2025-10-21 16:59:15,,24.88,,17
2025-10-21 16:59:15,,,23.76,17
2025-10-21 16:59:16,,,23.77,17
2025-10-21 16:59:17,130,,,17
2025-10-21 16:59:18,,24.89,,17
2025-10-21 16:59:18,,,23.8,17
2025-10-21 16:59:19,404,,,17
2025-10-21 16:59:20,,,23.78,17
2025-10-21 16:59:21,,,23.8,17
2025-10-21 16:59:22,,,23.76,17
2025-10-21 16:59:22,355,,,17
2025-10-21 16:59:23,,,23.73,17
2025-10-21 16:59:23,,,23.77,17
2025-10-21 16:59:24,,,23.76,17
2025-10-21 16:59:24,,,23.74,17
2025-10-21 16:59:25,181,,,17
2025-10-21 16:59:25,,,23.81,17
2025-10-21 16:59:26,,,23.78,17
2025-10-21 16:59:26,,,23.77,17
2025-10-21 16:59:27,,24.91,,17
2025-10-21 16:59:27,,,23.78,17
2025-10-21 16:59:28,670,,,17
2025-10-21 16:59:28,,,23.73,17
2025-10-21 16:59:29,,,23.84,17
2025-10-21 16:59:29,,,23.78,17
2025-10-21 16:59:30,,,23.77,17
2025-10-21 16:59:31,370,,,17
2025-10-21 16:59:31,,,23.76,17
2025-10-21 16:59:31,,,23.78,17
2025-10-21 16:59:32,,24.89,,17
2025-10-21 16:59:32,,,23.74,17
2025-10-21 16:59:33,,,23.76,17
2025-10-21 16:59:34,168,,,17
2025-10-21 16:59:35,,24.91,,17
2025-10-21 16:59:35,,,23.78,17
2025-10-21 16:59:36,,,23.77,17
2025-10-21 16:59:37,87,,,17
